"15 FEB 2026","","","","SALES BY CUSTOMER BY PRODUCT CODE",
"21:26:55","","","","PERIOD: 01/01/11 through 12/31/11",

"Cust No","Customer Name","Prod Code","Product Type Desc","Inv Date","Invoice No","Job / Part","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Sales Tax","Location No","Location Name","City","State","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3",

"3299","2ND WIND EXERCISE EQUIPMENT","REPFCE","REPLACEMENT FACES","12/14/11","3852","3852","499.85","200.57","299.28","59.87","","29.99","DEFAULT","2ND WIND EXERCISE EQUIPMENT","ANKENY","IA","JOEP","","","","","",
"3299","2ND WIND EXERCISE EQUIPMENT","REPFCE","Product Type Totals","","","","499.85","200.57","299.28","59.87","0.00","29.99",

"3299","2ND WIND EXERCISE EQUIPMENT","","*** Customer Totals ***","","","","499.85","200.57","299.28","59.87","0.00","29.99",

"200","5 & DINER RESTAURANTS","SRVCE","SERVICE","08/18/11","SC2309","SC2309","0.00","75.60","-75.60","","","","DEFAULT","5 & DINER RESTAURANTS","Johnston","IA","JOEP","","","","","",
"200","5 & DINER RESTAURANTS","SRVCE","Product Type Totals","","","","0.00","75.60","-75.60","","0.00","0.00",

"200","5 & DINER RESTAURANTS","","*** Customer Totals ***","","","","0.00","75.60","-75.60","","0.00","0.00",

"2548","AAFES ACCOUNTS PAYABLE","CHANNL","CHANNEL LETTERS","08/08/11","3617","3617","3432.62","1772.43","1660.19","48.37","","","3","TINKER AFB","OKLAHOMA CITY","OK","MIKEE","","","","","",
"2548","AAFES ACCOUNTS PAYABLE","CHANNL","Product Type Totals","","","","3432.62","1772.43","1660.19","48.37","0.00","0.00",

"2548","AAFES ACCOUNTS PAYABLE","","*** Customer Totals ***","","","","3432.62","1772.43","1660.19","48.37","0.00","0.00",

"1100","ABC ELECTRICAL CONTRACTORS ","MISC","MISCELLANEOUS SALE","12/27/11","3898","307-0165","404.81","188.80","216.01","53.36","","24.29","DEFAULT","ABC ELECTRICAL CONTRACTORS,","Des Moines","IA","ADAM","0.030","","","","",
"1100","ABC ELECTRICAL CONTRACTORS ","MISC","Product Type Totals","","","","404.81","188.80","216.01","53.36","0.00","24.29",

"1100","ABC ELECTRICAL CONTRACTORS ","","*** Customer Totals ***","","","","404.81","188.80","216.01","53.36","0.00","24.29",

"2809","ACCEL SIGN GROUP","AWNING","AWNINGS - ALL TYPES","12/30/11","3801","3801","875.28","317.80","557.48","63.69","","52.52","1","HALF PRICE BOOKS","CLIVE","IA","RICHT","","","","","",
"2809","ACCEL SIGN GROUP","AWNING","Product Type Totals","","","","875.28","317.80","557.48","63.69","0.00","52.52",

"2809","ACCEL SIGN GROUP","SURVEY","SURVEY","09/12/11","3705","3705","180.00","72.80","107.20","59.56","","10.80","1","HALF PRICE BOOKS","CLIVE","IA","RICHT","","","","","",
"2809","ACCEL SIGN GROUP","SURVEY","Product Type Totals","","","","180.00","72.80","107.20","59.56","0.00","10.80",

"2809","ACCEL SIGN GROUP","","*** Customer Totals ***","","","","1055.28","390.60","664.68","62.99","0.00","63.32",

"1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","SRVCE","SERVICE","02/28/11","SC2201","SC2201","596.40","330.79","265.61","44.54","7.00","36.20","1","MOTEL 6 #1408","WEST DES MOINES","IA","RICHT","","","","","",
"1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","SRVCE","SERVICE","04/06/11","SC2226","SC2226","75.00","0.00","75.00","100.00","","4.50","2","MOTEL 6 #30","DES MOINES","IA","RICHT","","","","","",
"1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","SRVCE","SERVICE","04/07/11","SC2228","SC2228","492.16","268.26","223.90","45.49","6.00","29.89","1","MOTEL 6 #1408","WEST DES MOINES","IA","RICHT","","","","","",
"1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","SRVCE","SERVICE","04/29/11","SC2246","SC2246","297.59","149.66","147.93","49.71","4.00","18.10","1","MOTEL 6 #1408","WEST DES MOINES","IA","RICHT","","","","","",
"1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","SRVCE","SERVICE","07/12/11","SC2286","SC2286","162.50","91.00","71.50","44.00","","9.75","2","MOTEL 6 #30","DES MOINES","IA","RICHT","","","","","",
"1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","SRVCE","SERVICE","07/20/11","SC2294","SC2294","276.25","118.30","157.95","57.18","","16.58","2","MOTEL 6 #30","DES MOINES","IA","RICHT","","","","","",
"1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","SRVCE","SERVICE","12/27/11","SC2437","SC2437","712.19","474.92","237.27","33.32","11.00","43.39","1","MOTEL 6 #1408","WEST DES MOINES","IA","RICHT","","","","","",
"1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","SRVCE","Product Type Totals","","","","2612.09","1432.93","1179.16","45.14","28.00","158.41",

"1500","ACCOR NORTH AMERICAN/ G6 HOSPITALITY LLC","","*** Customer Totals ***","","","","2612.09","1432.93","1179.16","45.14","28.00","158.41",

